close,high,low,open,volume,baseVolume,conversionType,conversionSymbol,datetime
9338.0,9383.96,9325.0,9377.04,3027.64,28322779.17,force_direct,,2020-07-21 15:00:00
9356.38,9359.32,9318.35,9338.0,2392.36,22342471.11,force_direct,,2020-07-21 16:00:00
9365.26,9368.94,9343.06,9356.38,1679.27,15712788.58,force_direct,,2020-07-21 17:00:00
9387.14,9387.94,9358.13,9365.26,2031.47,19040397.45,force_direct,,2020-07-21 18:00:00
9354.35,9391.83,9342.62,9387.14,1678.89,15726869.83,force_direct,,2020-07-21 19:00:00
9371.5,9372.33,9354.34,9354.35,1527.08,14300499.18,force_direct,,2020-07-21 20:00:00
9375.88,9382.9,9352.27,9371.5,1140.35,10681911.24,force_direct,,2020-07-21 21:00:00
9378.05,9391.25,9361.0,9375.88,958.03,8984030.32,force_direct,,2020-07-21 22:00:00
9390.0,9390.0,9370.0,9378.05,981.92,9208916.03,force_direct,,2020-07-21 23:00:00
9357.68,9392.82,9349.46,9390.0,1323.22,12400602.14,force_direct,,2020-07-22 00:00:00
9363.61,9386.99,9349.73,9357.68,1472.91,13800148.56,force_direct,,2020-07-22 01:00:00
9366.02,9375.62,9357.73,9363.61,1482.44,13886402.05,force_direct,,2020-07-22 02:00:00
9359.06,9370.0,9354.06,9366.02,1270.17,11891561.13,force_direct,,2020-07-22 03:00:00
9345.69,9367.5,9344.44,9359.06,1066.48,9979111.09,force_direct,,2020-07-22 04:00:00
9342.65,9357.23,9327.81,9345.69,1683.53,15735540.05,force_direct,,2020-07-22 05:00:00
9335.52,9350.0,9334.34,9342.65,1312.27,12262641.69,force_direct,,2020-07-22 06:00:00
9302.0,9360.81,9261.0,9335.52,2808.14,26173681.35,force_direct,,2020-07-22 07:00:00
9310.56,9325.13,9291.22,9302.0,2318.94,21589695.22,force_direct,,2020-07-22 08:00:00
9315.39,9330.0,9303.7,9310.56,1884.45,17560407.72,force_direct,,2020-07-22 09:00:00
9338.0,9343.22,9313.38,9315.39,1542.63,14389203.14,force_direct,,2020-07-22 10:00:00
9344.68,9354.58,9318.64,9338.0,1615.34,15089240.38,force_direct,,2020-07-22 11:00:00
9328.99,9345.14,9317.39,9344.68,1763.47,16456030.29,force_direct,,2020-07-22 12:00:00
9329.75,9337.24,9317.9,9328.99,1524.4,14220329.76,force_direct,,2020-07-22 13:00:00
9337.8,9339.94,9311.11,9329.75,1832.41,17085403.32,force_direct,,2020-07-22 14:00:00
9338.14,9354.0,9330.78,9337.8,2045.23,19105050.49,force_direct,,2020-07-22 15:00:00
9328.14,9346.44,9325.27,9338.14,2065.34,19288719.46,force_direct,,2020-07-22 16:00:00
9364.31,9372.0,9328.02,9328.14,2264.14,21184540.0,force_direct,,2020-07-22 17:00:00
9366.1,9379.25,9354.31,9364.31,1625.04,15223025.93,force_direct,,2020-07-22 18:00:00
9373.88,9385.0,9357.4,9366.1,1776.94,16653391.22,force_direct,,2020-07-22 19:00:00
9367.71,9385.44,9364.98,9373.88,1326.97,12438246.81,force_direct,,2020-07-22 20:00:00
9374.25,9378.22,9360.0,9367.71,1206.68,11305162.51,force_direct,,2020-07-22 21:00:00
9500.0,9544.0,9368.75,9374.25,8489.1,80419399.0,force_direct,,2020-07-22 22:00:00
9518.16,9533.0,9498.66,9500.0,3114.76,29638572.32,force_direct,,2020-07-22 23:00:00
9506.69,9533.7,9500.73,9518.16,2604.92,24798360.05,force_direct,,2020-07-23 00:00:00
9517.0,9519.5,9492.32,9506.69,1530.8,14556455.97,force_direct,,2020-07-23 01:00:00
9499.03,9526.92,9491.7,9517.0,1525.52,14504159.92,force_direct,,2020-07-23 02:00:00
9491.99,9499.5,9461.0,9499.03,1994.42,18914875.46,force_direct,,2020-07-23 03:00:00
9498.83,9499.35,9484.83,9491.99,1002.03,9512537.71,force_direct,,2020-07-23 04:00:00
9489.68,9498.93,9462.0,9498.83,1960.44,18583296.31,force_direct,,2020-07-23 05:00:00
9492.0,9498.68,9479.73,9489.68,1414.31,13420951.91,force_direct,,2020-07-23 06:00:00
9491.67,9509.97,9486.63,9492.0,1939.6,18422690.69,force_direct,,2020-07-23 07:00:00
9516.32,9527.0,9480.0,9491.67,2084.67,19806648.81,force_direct,,2020-07-23 08:00:00
9501.41,9516.33,9487.0,9516.32,1599.22,15192519.94,force_direct,,2020-07-23 09:00:00
9490.98,9509.01,9485.97,9501.41,1898.72,18034820.89,force_direct,,2020-07-23 10:00:00
9507.01,9512.0,9485.0,9490.98,1504.37,14287702.4,force_direct,,2020-07-23 11:00:00
9489.33,9512.0,9483.78,9507.01,1607.8,15272466.39,force_direct,,2020-07-23 12:00:00
9498.15,9500.0,9480.0,9489.33,2061.59,19567551.68,force_direct,,2020-07-23 13:00:00
9493.85,9585.0,9440.33,9498.15,5978.56,56796050.1,force_direct,,2020-07-23 14:00:00
9524.99,9536.0,9477.0,9493.85,2364.39,22480573.68,force_direct,,2020-07-23 15:00:00
9619.28,9620.0,9510.67,9524.99,5566.2,53210916.69,force_direct,,2020-07-23 16:00:00
9609.14,9664.0,9585.86,9619.28,5201.46,50029066.76,force_direct,,2020-07-23 17:00:00
9582.2,9617.28,9564.0,9609.14,2353.29,22575874.72,force_direct,,2020-07-23 18:00:00
9595.8,9599.46,9572.0,9582.2,1692.23,16224938.08,force_direct,,2020-07-23 19:00:00
9578.99,9599.93,9567.24,9595.8,1144.8,10965353.74,force_direct,,2020-07-23 20:00:00
9604.94,9610.0,9570.0,9578.99,1026.56,9847495.28,force_direct,,2020-07-23 21:00:00
9592.03,9608.01,9586.0,9604.94,936.44,8987618.55,force_direct,,2020-07-23 22:00:00
9603.27,9607.0,9585.44,9592.03,863.9,8290023.01,force_direct,,2020-07-23 23:00:00
9583.56,9606.83,9570.0,9603.27,1182.98,11343405.29,force_direct,,2020-07-24 00:00:00
9571.98,9592.61,9552.59,9583.56,1156.36,11072009.54,force_direct,,2020-07-24 01:00:00
9569.32,9583.57,9554.03,9571.98,846.87,8104105.61,force_direct,,2020-07-24 02:00:00
9561.55,9575.43,9535.75,9569.32,1446.42,13820101.54,force_direct,,2020-07-24 03:00:00
9535.27,9571.04,9527.31,9561.55,1301.93,12432054.38,force_direct,,2020-07-24 04:00:00
9547.77,9550.0,9508.83,9535.27,1983.73,18920608.26,force_direct,,2020-07-24 05:00:00
9474.5,9548.34,9470.08,9547.77,2763.51,26260381.45,force_direct,,2020-07-24 06:00:00
9508.02,9509.0,9463.44,9474.5,2150.73,20414165.21,force_direct,,2020-07-24 07:00:00
9505.07,9510.83,9477.35,9508.02,1950.88,18531555.08,force_direct,,2020-07-24 08:00:00
9526.29,9526.41,9503.58,9505.07,1505.31,14326633.91,force_direct,,2020-07-24 09:00:00
9540.85,9560.0,9522.61,9526.29,1731.05,16515507.73,force_direct,,2020-07-24 10:00:00
9532.09,9548.05,9525.82,9540.85,2503.52,23879459.94,force_direct,,2020-07-24 11:00:00
9521.35,9533.53,9502.82,9532.09,2551.05,24288669.31,force_direct,,2020-07-24 12:00:00
9503.97,9538.21,9497.44,9521.35,1941.28,18474320.4,force_direct,,2020-07-24 13:00:00
9537.78,9538.02,9503.04,9503.97,1931.83,18392534.44,force_direct,,2020-07-24 14:00:00
9551.68,9566.38,9523.56,9537.78,2154.17,20559469.94,force_direct,,2020-07-24 15:00:00
9575.73,9583.36,9520.0,9551.68,2119.74,20241657.69,force_direct,,2020-07-24 16:00:00
9557.44,9579.1,9522.0,9575.73,1736.86,16584194.1,force_direct,,2020-07-24 17:00:00
9580.01,9589.0,9556.0,9557.44,1927.6,18452328.04,force_direct,,2020-07-24 18:00:00
9581.76,9583.8,9560.0,9580.01,1236.18,11834672.54,force_direct,,2020-07-24 19:00:00
9615.29,9620.0,9567.23,9581.76,2119.24,20337630.29,force_direct,,2020-07-24 20:00:00
